cutoff,9,,,,,,,
Database,plastics,,,,,,,
,,,,,,,,
,,,,,,,,
Activity,"hydrogen production, electrolysis, 25 bar, domestic, EP2050",,,,,,,
production amount,1.00E+00,,,,,,,
comment,,,,,,,,
reference product,"hydrogen, gaseous",,,,,,,
location,CH,,,,,,,
unit,kilogram,,,,,,,
Exchanges,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment
,,,,,,,,
,,,,,,,,
Activity,"Heat, from electricity",,,,,,,
production amount,1.00E+00,,,,,,,
comment,,,,,,,,
reference product,process heat,,,,,,,
location,CH,,,,,,,
unit,megajoule,,,,,,,
Exchanges,,,,,,,,
name,amount,database,location,unit,type,reference product,categories,comment
"Heat, from electricity",1,,CH,megajoule,production,process heat,,
"market for electricity, high voltage",0.277777778,,CH,kilowatt hour,technosphere,"electricity, high voltage",,
